symbol,dt,open,high,low,close,volume,amount,pre_close,limit_up,limit_down,suspended,data_status,source,updated_at
510500.SH,2025-10-20T15:00:00+08:00,7.174,7.233,7.126,7.16,356249384.0,2558410357.0,7.114,7.825,6.403,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-21T15:00:00+08:00,7.182,7.295,7.177,7.28,485106359.99999994,3522045922.0,7.16,7.876,6.444,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-22T15:00:00+08:00,7.25,7.261,7.202,7.224,271371500.0,1962399224.0,7.28,8.008,6.552,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-23T15:00:00+08:00,7.202,7.254,7.114,7.249,203373365.0,1457957880.0,7.224,7.946,6.502,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-24T15:00:00+08:00,7.274,7.372,7.268,7.369,227470386.0,1663975677.0,7.249,7.974,6.524,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-27T15:00:00+08:00,7.433,7.491,7.402,7.478,214285422.00000003,1599407845.0,7.369,8.106,6.632,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-28T15:00:00+08:00,7.468,7.514,7.41,7.441,170449440.0,1271978016.0,7.478,8.226,6.73,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-29T15:00:00+08:00,7.452,7.596,7.45,7.594,206192267.0,1554258782.0,7.441,8.185,6.697,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-30T15:00:00+08:00,7.586,7.586,7.476,7.497,239775371.0,1804318822.0,7.594,8.353,6.835,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-10-31T15:00:00+08:00,7.494,7.545,7.434,7.436,239526377.0,1793252055.0,7.497,8.247,6.747,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-03T15:00:00+08:00,7.427,7.448,7.312,7.439,254099006.0,1875962746.0,7.436,8.18,6.692,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-04T15:00:00+08:00,7.42,7.425,7.268,7.313,297882984.0,2187305293.0,7.439,8.183,6.695,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-05T15:00:00+08:00,7.2,7.359,7.2,7.33,143295554.0,1044051112.0,7.313,8.044,6.582,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-06T15:00:00+08:00,7.335,7.464,7.335,7.451,173994728.0,1290454325.0,7.33,8.063,6.597,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-07T15:00:00+08:00,7.42,7.476,7.383,7.44,103751961.0,771019572.0,7.451,8.196,6.706,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-10T15:00:00+08:00,7.475,7.502,7.39,7.448,112335218.0,835109376.0,7.44,8.184,6.696,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-11T15:00:00+08:00,7.468,7.495,7.381,7.394,158667471.0,1178560276.0,7.448,8.193,6.703,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-12T15:00:00+08:00,7.368,7.417,7.288,7.356,134217512.99999999,986234776.0,7.394,8.133,6.655,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-13T15:00:00+08:00,7.337,7.481,7.337,7.465,188661676.0,1401440665.0,7.356,8.092,6.62,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-14T15:00:00+08:00,7.403,7.435,7.335,7.338,155598971.0,1150184972.0,7.465,8.212,6.718,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-17T15:00:00+08:00,7.334,7.374,7.308,7.336,219804390.0,1613421164.0,7.338,8.072,6.604,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-18T15:00:00+08:00,7.31,7.335,7.217,7.262,265420668.00000003,1928962925.0,7.336,8.07,6.602,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-19T15:00:00+08:00,7.252,7.293,7.193,7.227,246792384.0,1786594862.0,7.262,7.988,6.536,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-20T15:00:00+08:00,7.27,7.293,7.163,7.17,303240774.0,2183687616.0,7.227,7.95,6.504,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-21T15:00:00+08:00,7.098,7.131,6.918,6.922,755356839.0,5290499089.0,7.17,7.887,6.453,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-24T15:00:00+08:00,6.96,7.006,6.903,6.97,414765702.0,2883620932.0,6.922,7.614,6.23,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-25T15:00:00+08:00,7.016,7.126,7.014,7.054,604358456.0,4269824932.0,6.97,7.667,6.273,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
510500.SH,2025-11-26T15:00:00+08:00,7.055,7.124,7.038,7.065,413929415.0,2934400370.0,7.054,7.759,6.349,False,ok,akshare:fund_etf_hist_sina,2026-06-26T11:51:22.212145+08:00
