trade_id,order_id,strategy_id,account_id,symbol,side,qty,price,commission,dt,broker_order_id,broker_trade_id
T-129,O-129,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19500.0,4.011,19.55,2025-05-13T15:00:00+08:00,,
T-130,O-130,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19500.0,3.947,19.24,2025-05-28T15:00:00+08:00,,
T-131,O-131,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19400.0,3.959,19.2,2025-05-30T15:00:00+08:00,,
T-132,O-132,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19400.0,3.998,19.39,2025-06-12T15:00:00+08:00,,
T-133,O-133,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,13400.0,5.755,19.28,2025-06-16T15:00:00+08:00,,
T-134,O-134,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,13400.0,5.668,18.99,2025-06-23T15:00:00+08:00,,
T-135,O-135,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19400.0,3.939,19.1,2025-06-25T15:00:00+08:00,,
T-136,O-136,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19400.0,3.98,19.3,2025-07-01T15:00:00+08:00,,
T-137,O-137,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,BUY,12900.0,5.947,19.18,2025-07-03T15:00:00+08:00,,
T-138,O-138,etf_regime_rotation_510300_510500_v1,backtest,510500.SH,SELL,12900.0,7.174,23.14,2025-10-20T15:00:00+08:00,,
T-139,O-139,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,19000.0,4.69,22.28,2025-10-22T15:00:00+08:00,,
T-140,O-140,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,19000.0,4.579,21.75,2025-11-24T15:00:00+08:00,,
T-141,O-141,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,18700.0,4.686,21.91,2025-12-02T15:00:00+08:00,,
T-142,O-142,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,18700.0,4.665,21.81,2025-12-03T15:00:00+08:00,,
T-143,O-143,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,BUY,18600.0,4.711,21.91,2025-12-08T15:00:00+08:00,,
T-144,O-144,etf_regime_rotation_510300_510500_v1,backtest,510300.SH,SELL,18600.0,4.678,21.75,2025-12-12T15:00:00+08:00,,
