symbol,interval,bar_open_time,bar_close_time,open,high,low,close,volume,quote_volume,trade_count,source
BTCUSDT,4h,2026-06-06T16:00:00Z,2026-06-06T19:59:59.999000Z,60784.01000000,60971.24000000,60393.96000000,60600.01000000,2446.99506000,148359633.57654300,534622,binance_spot_rest
BTCUSDT,4h,2026-06-06T20:00:00Z,2026-06-06T23:59:59.999000Z,60600.00000000,61000.00000000,60429.09000000,60884.62000000,1575.88786000,95697732.08748910,390676,binance_spot_rest
BTCUSDT,4h,2026-06-07T00:00:00Z,2026-06-07T03:59:59.999000Z,60884.62000000,61778.33000000,60746.00000000,61701.07000000,2959.18911000,181385716.20304780,709548,binance_spot_rest
BTCUSDT,4h,2026-06-07T04:00:00Z,2026-06-07T07:59:59.999000Z,61701.06000000,62416.26000000,61482.46000000,62404.73000000,4903.20395000,304023070.16938830,740026,binance_spot_rest
BTCUSDT,4h,2026-06-07T08:00:00Z,2026-06-07T11:59:59.999000Z,62404.72000000,62960.00000000,62259.37000000,62621.96000000,4723.06235000,295560305.07869090,725358,binance_spot_rest
BTCUSDT,4h,2026-06-07T12:00:00Z,2026-06-07T15:59:59.999000Z,62621.97000000,62643.97000000,61577.12000000,62093.99000000,4554.13890000,282015239.16010590,947743,binance_spot_rest
BTCUSDT,4h,2026-06-07T16:00:00Z,2026-06-07T19:59:59.999000Z,62093.99000000,62332.00000000,61184.00000000,61328.00000000,2477.20723000,153321370.34257050,627720,binance_spot_rest
BTCUSDT,4h,2026-06-07T20:00:00Z,2026-06-07T23:59:59.999000Z,61327.99000000,64234.68000000,61217.17000000,63332.01000000,6995.30289000,440345071.85990460,1002066,binance_spot_rest
BTCUSDT,4h,2026-06-08T00:00:00Z,2026-06-08T03:59:59.999000Z,63332.01000000,63863.06000000,62720.86000000,63130.12000000,3315.46180000,209776019.13931900,951227,binance_spot_rest
ETHUSDT,4h,2026-06-01T00:00:00Z,2026-06-01T03:59:59.999000Z,2007.02000000,2021.50000000,1991.31000000,2009.09000000,73159.12050000,146998493.27266000,623861,binance_spot_rest
ETHUSDT,4h,2026-06-01T04:00:00Z,2026-06-01T07:59:59.999000Z,2009.09000000,2011.97000000,1971.70000000,1976.43000000,43590.10030000,86756726.95539500,532130,binance_spot_rest
ETHUSDT,4h,2026-06-01T08:00:00Z,2026-06-01T11:59:59.999000Z,1976.42000000,1990.11000000,1969.90000000,1981.44000000,49130.48000000,97327946.08928700,413474,binance_spot_rest
ETHUSDT,4h,2026-06-01T12:00:00Z,2026-06-01T15:59:59.999000Z,1981.44000000,1994.39000000,1956.04000000,1968.45000000,90946.17430000,179439156.82358300,1137706,binance_spot_rest
