symbol,ex_date,factor
510500.SH,2023-12-01,0.9576271186440679
510500.SH,2023-12-04,0.9575371549893843
510500.SH,2023-12-05,0.9568733153638813
510500.SH,2023-12-06,0.9569661108122646
510500.SH,2023-12-07,0.9570046578287352
510500.SH,2023-12-08,0.9570968895244905
510500.SH,2023-12-11,0.9575671852899577
510500.SH,2023-12-12,0.9576420755382986
510500.SH,2023-12-13,0.9571963616907436
510500.SH,2023-12-14,0.9570508231925554
510500.SH,2023-12-15,0.9567099567099568
510500.SH,2023-12-18,0.956228342148459
510500.SH,2023-12-19,0.9561563755937157
510500.SH,2023-12-20,0.9556541019955653
510500.SH,2023-12-21,0.9557685219314411
510500.SH,2023-12-22,0.955637707948244
510500.SH,2023-12-25,0.9555802332037758
510500.SH,2023-12-26,0.9551904406273338
510500.SH,2023-12-27,0.9553239017125837
510500.SH,2023-12-28,0.9561643835616439
510500.SH,2023-12-29,0.9565138612067403
510500.SH,2024-01-02,0.9563398217209387
510500.SH,2024-01-03,0.9562841530054644
510500.SH,2024-01-04,0.9559309585016527
510500.SH,2024-01-05,0.9553571428571428
510500.SH,2024-01-08,0.9542857142857143
510500.SH,2024-01-09,0.9543899657924745
510500.SH,2024-01-10,0.9542770051438371
510500.SH,2024-01-11,0.9548192771084337
510500.SH,2024-01-12,0.9546485260770975
510500.SH,2024-01-15,0.9545368440992612
510500.SH,2024-01-16,0.9544937428896473
510500.SH,2024-01-17,0.9533164753938922
510500.SH,2024-01-18,0.9533618344345122
510500.SH,2024-01-19,0.9529964747356051
510500.SH,2024-01-22,0.9507186858316221
510500.SH,2024-01-23,0.9514955537590946
510500.SH,2024-01-24,0.9521721801514548
510500.SH,2024-01-25,0.9535423925667827
510500.SH,2024-01-26,0.9530240751614797
510500.SH,2024-01-29,0.9521244763614601
510500.SH,2024-01-30,0.9511301160659745
510500.SH,2024-01-31,0.9498222872674054
510500.SH,2024-02-01,0.9496327387198322
510500.SH,2024-02-02,0.9482423981022214
510500.SH,2024-02-05,0.9470782800441014
510500.SH,2024-02-06,0.9511500101770811
510500.SH,2024-02-07,0.9540669856459332
510500.SH,2024-02-08,0.9542770051438371
510500.SH,2024-02-19,0.9539789069990412
510500.SH,2024-02-20,0.9539789069990412
510500.SH,2024-02-21,0.9539524174980815
510500.SH,2024-02-22,0.954346585505041
510500.SH,2024-02-23,0.954554061730733
510500.SH,2024-02-26,0.9544678429140581
510500.SH,2024-02-27,0.9555390885513154
510500.SH,2024-02-28,0.9543639475185396
510500.SH,2024-02-29,0.9558092432332903
510500.SH,2024-03-01,0.9561002377903788
510500.SH,2024-03-04,0.9560841720036596
510500.SH,2024-03-05,0.9558661272526665
510500.SH,2024-03-06,0.9558255107675317
510500.SH,2024-03-07,0.9552489278388961
510500.SH,2024-03-08,0.9558336400441664
510500.SH,2024-03-11,0.9566473988439308
510500.SH,2024-03-12,0.9564032697547683
510500.SH,2024-03-13,0.9563398217209387
510500.SH,2024-03-14,0.9561563755937157
510500.SH,2024-03-15,0.9567489637772572
510500.SH,2024-03-18,0.9572953736654803
510500.SH,2024-03-19,0.9568422945513396
510500.SH,2024-03-20,0.9569506726457399
